,Название,Телефон,Адрес,Ссылка
0,Дон Феромон,,"Улица Дуси Ковальчук, 179цокольный этаж3 филиала
Заельцовский район, Новосибирск, 630082",https://2gis.ru/novosibirsk/search/сексшоп
1,Доктор Любви,8‒800‒775‒70‒64,"Улица Покрышкина, 61 этаж12 филиалов
Ленинский район, Новосибирск, 630048","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001019867922/82.909784,55.058715"
2,Любимый,+7 (383) 299‒70‒90,"Улица Ватутина, 271 этаж
Башня ж/м, Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001021284465/82.890898,54.982201"
3,Азбука любви,+7 (383) 266‒90‒26,"Улица Кирова, 1081 этаж2 филиала
Октябрьский район, Новосибирск, 630009","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001059469317/82.895848,54.983854"
4,Соблазн,+7‒923‒470‒86‒46,"Красный проспект, 186/11 этаж2 филиала
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265770143917/82.953208,55.012438"
5,KAZANOVA academy,8‒800‒3333‒004,"Улица Дуси Ковальчук, 266цокольный этаж13 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001064891583/82.914412,55.058877"
6,Интим-Маркет,8‒800‒551‒91‒13,"Улица Нарымская, 17/21 этаж2 филиала
Челюскинский ж/м, Железнодорожный район, Новосибирск, 630132","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265771997066/82.916433,55.060588"
7,Омут,+7 (383) 209‒09‒20,"Улица Большевистская, 372 этаж
Октябрьский район, Новосибирск, 630102","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265769358058/82.90734,55.041049"
8,Сова54,+7‒983‒001‒52‒52,"Проспект Дзержинского, 581 этаж
Дзержинский район, Новосибирск, 630051","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001066911288/82.93266,55.010497"
9,Lust boutique,+7‒913‒708‒42‒09,"Советская, 18212 офис; 2 этаж; левое крыло
Тихий центр м-н, Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001036442076/82.997169,55.066067"
10,KAZANOVA academy,8‒800‒3333‒004,"Улица Бориса Богаткова, 248а1 этаж13 филиалов
Золотая Нива м-н, Дзержинский район, Новосибирск, 630089","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001036220898/82.91664,55.030279"
11,KAZANOVA academy,8‒800‒3333‒004,"Проспект Карла Маркса, 31 этаж13 филиалов
Башня ж/м, Ленинский район, Новосибирск, 630064","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265769992274/82.978329,55.037185"
12,KAZANOVA academy,8‒800‒3333‒004,"Гостиница ЦентральнаяУлица Ленина, 3цокольный этаж13 филиалов
Тихий центр м-н, Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001029240280/82.8975,54.984168"
13,Lacorsa,+7‒952‒932‒01‒23,"Проспект Карла Маркса, 551 этаж
Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001029507776/82.916836,55.029549"
14,KAZANOVA academy,8‒800‒3333‒004,"Красный проспект, 11цокольный этаж13 филиалов
Тихий центр м-н, Центральный район, Новосибирск, 630007","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001029453785/82.910343,54.991839"
15,Lovehack 18+,+7‒983‒120‒03‒03,"Советская, 8
Тихий центр м-н, Центральный район, Новосибирск, 630007","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/141265769363420/82.921673,55.023311"
16,Магазин Фантазий 18+,+7‒913‒916‒69‒51,"Улица Гоголя, 42193 офис; цокольный этаж
Фрунзенский м-н, Центральный район, Новосибирск, 630005","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001047572517/82.918378,55.023792"
17,KAZANOVA academy,8‒800‒3333‒004,"Улица Мичурина, 25/113 филиалов
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/141265771741328/82.940936,55.043842"
18,KAZANOVA academy,8‒800‒3333‒004,"Улица Геодезическая, 41 этаж13 филиалов
Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001045551178/82.920521,55.042721"
19,Студия интим-фитнеса,+7‒913‒945‒67‒97,"БЦ АдриатикаКрасный проспект, 20032 офис; 3 этаж
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001059395652/82.904172,54.989206"
20,KAZANOVA academy,8‒800‒3333‒004,"Улица Танковая, 11 этаж13 филиалов
Сухой лог м-н, Калининский район, Новосибирск, 630075","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/141265769751531/82.913011,55.06335"
21,For You,+7‒952‒926‒05‒85,"Советская, 401 этаж
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001080780031/82.933994,55.064858"
22,KAZANOVA academy,8‒800‒3333‒004,"Улица Кирова, 10813 филиалов
Октябрьский район, Новосибирск, 630009","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001026488416/82.914369,55.038544"
23,2S intim shop,+7‒923‒230‒31‒49,"Улица Чаплыгина, 93205А офис; 2 этаж
Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001081072416/82.953208,55.012438"
24,Доктор Любви,8‒800‒775‒70‒64,"Отель НовосибирскВокзальная магистраль, 11 этаж12 филиалов
Челюскинский ж/м, Железнодорожный район, Новосибирск, 630004","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001025116603/82.927653,55.026797"
25,Доктор Любви,8‒800‒775‒70‒64,"Горский микрорайон, 64225 офис; 2 этаж12 филиалов
Горский ж/м, Ленинский район, Новосибирск, 630032","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001052544541/82.901053,55.035317"
26,KAZANOVA academy,8‒800‒3333‒004,"Улица Гоголя, 71 этаж13 филиалов
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/141265771406692/82.893571,54.993173"
27,Доктор Любви,8‒800‒775‒70‒64,"Улица Гурьевская, 5512 филиалов
Октябрьский район, Новосибирск, 630008","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/141265771636600/82.918065,55.042719"
28,Доктор Любви,8‒800‒775‒70‒64,"Красный проспект, 1881 этаж12 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001043892410/82.952639,55.014448"
29,Интим бутик,+7‒913‒012‒20‒20,"Урицкого, 241 этаж; аптека Доктор Столетов
Тихий центр м-н, Железнодорожный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001036370743/82.915016,55.060032"
30,Доктор Любви,8‒800‒775‒70‒64,"Улица Блюхера, 72 этаж12 филиалов
Ленинский район, Новосибирск, 630078","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001083764681/82.913356,55.029237"
31,Доктор Любви,8‒800‒775‒70‒64,"Улица Гоголя, 383 павильон; цокольный этаж; центр Маршал12 филиалов
Фрунзенский м-н, Центральный район, Новосибирск, 630005","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001035691735/82.889139,54.983717"
32,Love Shop Perchik,+7‒999‒462‒31‒00,"Проспект Карла Маркса, 131 этаж
Башня ж/м, Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001007254580/82.935021,55.043466"
33,Доктор Любви,8‒800‒775‒70‒64,"Красный проспект, 1551 этаж12 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/141265770700014/82.898524,54.984782"
34,Juliana,+7 (383) 264‒15‒50,"БЦ ОмегаУлица Бориса Богаткова, 228/1311 офис; 3 этаж
Золотая Нива м-н, Октябрьский район, Новосибирск, 630089","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001025067277/82.912595,55.057477"
35,Соблазн,+7‒923‒470‒86‒46,"Улица Никитина, 49/12 филиала
Октябрьский район, Новосибирск, 630008","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/141265770966366/82.980328,55.034638"
36,Интим-Маркет,,"Улица Титова, 31 этаж2 филиала
Ленинский район, Новосибирск, 630048","https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001081203467/82.959997,55.012711"
37,Доктор Любви,8‒800‒775‒70‒64,"ТЦ Золотая НиваУлица Бориса Богаткова, 239133 павильон; 1 этаж12 филиалов
Золотая Нива м-н, Дзержинский район, Новосибирск, 630089","https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/141265769524603/82.887556,54.981928"
38,Доктор Любви,8‒800‒775‒70‒64,"ОлимпияГалущака, 2а302 офис; 3 этаж12 филиалов
Линейный м-н, Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001019434345/82.977969,55.038244"
39,Дон Феромон,+7‒913‒733‒54‒45,"Залесского, 8/13 филиала
Заельцовский район, Новосибирск, 630075","https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/141265769817592/82.902773,55.051643"
40,s-shop24.ru,,,"https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001079753364/82.92528,55.068928"
41,Андрей. Бизнес для взрослых,+7 (383) 349‒22‒02,"Троллейная, 211 этаж; справа от супермаркета Магнит
Ленинский район, Новосибирск, 630136",https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001019085849
42,Большой,8‒800‒250‒92‒11,,"https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001039042829/82.859254,54.984444"
43,Toys for love,,,https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001045910369
44,Азбука любви,+7 (383) 343‒04‒78,"Улица Титова, 301 этаж2 филиала
Ленинский район, Новосибирск, 630054",https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001062357927
45,Интим молл,8‒800‒775‒89‒65,"ОлимпияГалущака, 2а302 офис; 3 этаж
Линейный м-н, Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/141265769762777/82.870286,54.982171"
46,Доктор Любви,8‒800‒775‒70‒64,"Улица Титова, 2001 этаж12 филиалов
Западный м-н, Ленинский район, Новосибирск, 630120","https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001025576156/82.902773,55.051643"
47,Джага-джага,,,"https://2gis.ru/novosibirsk/search/сексшоп/page/4/firm/70000001017181223/82.826688,54.981694"
48,Perchik,,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001065402978
49,Дон Феромон,+7‒913‒733‒39‒66,"Улица Шмидта, 43 филиала
Первомайский район, Новосибирск, 630046",https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001066380080
50,Адонис,+7‒903‒932‒66‒56,"Универмаг ЮбилейныйУлица Объединения, 803 этаж
Юбилейный ж/м, Калининский район, Новосибирск, 630027","https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001057574287/83.08026,54.974345"
51,Puper.ru,8‒800‒500‒13‒02,,"https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001023004058/82.962415,55.095873"
52,MakeMeHappy,+7 (831) 414‒19‒30,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001024853577
53,Интимия,8‒800‒300‒56‒04,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001063403133
54,Elite-Sexshop,,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001045221653
55,Нестыдно.ру,8‒800‒700‒27‒69,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001046825524
56,Нестыдно.ру,+7 (343) 311‒49‒69,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001052452828
57,Xdolls,+7 (499) 994‒99‒49,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001053009184
58,Точка G,+7‒952‒854‒77‒27,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001059399208
59,Incognito,+7 (861) 206‒66‒06,,https://2gis.ru/novosibirsk/search/сексшоп/page/5/firm/70000001064085852
60,Love is,,,https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001065366566
61,Yousensation.ru,+7‒996‒636‒96‒66,,https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001075153114
62,IntimoAmore.ru,8‒800‒550‒20‒01,,https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001082553319
63,Эролайф,8‒800‒700‒83‒23,,https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001083289357
64,Охи-Ахи,,,https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001084282721
65,Доктор Любви,8‒800‒775‒70‒64,"Кочубея, 4/112 филиалов
Калининский район, Новосибирск, 630129",https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001086890633
66,KAZANOVA academy,8‒800‒3333‒004,"Ильича, 6а2 этаж13 филиалов
Верхняя зона Академгородка м-н, Советский район, Новосибирск, 630090","https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001024406630/83.094549,54.840202"
67,KAZANOVA academy,8‒800‒3333‒004,"Посёлок Кольцово, 192 этаж13 филиалов
рп. Кольцово, рп. Кольцово городской округ, Новосибирская область, 630559","https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001024406630/83.094549,54.840202?m=83.094549,54.840202/11"
68,ДеньНочь,+7‒913‒932‒90‒91,"Бердское шоссе, 2771 этаж
Шлюз м-н, Советский район, Новосибирск, 630058","https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001080615293/83.18808,54.940588?m=83.094549,54.840202/11"
69,KAZANOVA academy,8‒800‒3333‒004,"Лелюха, 131 этаж13 филиалов
Бердск, Новосибирская область, 633010","https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001022784781/83.064108,54.847427?m=83.094549,54.840202/11"
70,Под кожей,+7‒952‒909‒69‒69,"Рабочая, 40/1
с. Боровое, Новосибирский район, Новосибирская область, 630524","https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001076741861/82.630751,54.697796?m=83.094549,54.840202/11"
71,Под кожей,8‒800‒707‒46‒69,,"https://2gis.ru/novosibirsk/search/сексшоп/page/6/firm/70000001076741861/82.630751,54.697796?m=82.630751,54.697796/11"
